protocol,start,end,sum
TCP,80,33264,1
UDP,21668,39065,1
TCP,80,62905,1
UDP,39432,35248,1
UDP,19561,13123,1
UDP,8099,34952,1
TCP,19225,80,1
TCP,56608,80,1
UDP,3205,42265,1
UDP,51596,64796,1
UDP,20955,39065,1
UDP,5618,39065,1
TCP,810,43707,1
UDP,9172,34952,1
UDP,28818,42265,1
TCP,80,40748,1
TCP,65240,80,1
TCP,10380,80,1
TCP,80,38158,1
UDP,53976,34952,1
TCP,57289,80,1
TCP,18296,80,1
TCP,11201,80,1
TCP,80,61377,1
TCP,5430,80,1
TCP,80,20957,1
UDP,38859,64796,1
TCP,80,28375,1
TCP,46845,80,1
TCP,23128,80,1
UDP,48287,13536,1
TCP,23078,80,1
TCP,80,25671,1
TCP,3454,80,1
TCP,51645,80,1
TCP,19103,80,1
TCP,22072,80,1
UDP,61091,13536,1
TCP,80,12173,1
TCP,55017,80,1
TCP,80,29794,1
TCP,9470,80,1
TCP,14876,80,1
UDP,6987,26486,1
UDP,36428,39065,1
TCP,26045,80,1
TCP,7633,80,1
TCP,24115,80,1
TCP,80,31325,1
TCP,19687,80,1
TCP,80,9202,1
UDP,29973,42265,1
ICMP,0,781,1
TCP,59430,80,1
TCP,80,51440,1
TCP,80,18407,1
TCP,12064,80,1
TCP,13049,443,1
UDP,8971,13536,1
UDP,26222,34952,1
UDP,45102,13536,1
TCP,37013,80,1
UDP,57355,39065,1
UDP,61937,39065,1
TCP,36608,80,1
UDP,4760,34952,1
TCP,80,60616,1
UDP,61906,13536,1
UDP,47038,35248,1
TCP,1695,80,1
TCP,80,37599,1
UDP,41605,35248,1
UDP,5236,35248,1
TCP,80,53907,1
TCP,80,50734,1
UDP,32769,26486,1
UDP,54669,42265,1
UDP,4717,13536,1
TCP,50336,80,1
TCP,80,32753,1
TCP,59759,80,1
UDP,43585,34952,1
TCP,55586,80,1
TCP,80,40315,1
TCP,2737,80,1
TCP,80,17382,1
UDP,47716,64796,1
UDP,48204,13123,1
TCP,64166,80,1
UDP,34618,26486,1
TCP,39123,80,1
TCP,22129,80,1
TCP,56036,80,1
TCP,80,46065,1
TCP,58273,80,1
TCP,26420,80,1
TCP,9730,80,1
TCP,1828,80,1
UDP,36424,39065,1
TCP,53238,80,1
UDP,34415,34952,1
UDP,25684,26486,1
UDP,23126,64796,1
TCP,80,46211,1
TCP,80,13737,1
TCP,80,12432,1
TCP,60585,80,1
UDP,5719,39065,1
TCP,3761,80,1
TCP,80,53003,1
TCP,59173,61288,1
TCP,59608,80,1
UDP,15751,13536,1
TCP,80,14038,1
UDP,4260,13123,1
UDP,12286,13123,1
TCP,51218,80,1
UDP,39442,42265,1
UDP,3633,64796,1
UDP,63153,34354,1
TCP,40508,80,1
UDP,33584,35248,1
TCP,27881,80,1
TCP,8970,80,1
TCP,810,48456,1
TCP,80,4343,1
UDP,17549,34354,1
UDP,5344,13536,1
TCP,32680,80,1
TCP,19890,80,1
TCP,42510,80,1
TCP,2848,80,1
UDP,7163,42265,1
UDP,55649,42265,1
TCP,80,18971,1
TCP,56733,80,1
TCP,80,18280,1
TCP,29638,80,1
UDP,16273,42265,1
UDP,16041,34354,1
UDP,54368,39065,1
TCP,80,45551,1
TCP,80,26534,1
UDP,10458,13536,1
TCP,57224,80,1
TCP,80,50422,1
TCP,80,59565,1
UDP,48814,34952,1
UDP,32921,39065,1
TCP,26989,80,1
UDP,25211,34952,1
TCP,80,65523,1
TCP,12875,80,1
TCP,7279,80,1
TCP,80,55783,1
UDP,39134,26486,1
TCP,62456,80,1
TCP,810,1039,1
TCP,23703,80,1
TCP,80,64494,1
TCP,810,20949,1
TCP,80,31547,1
TCP,9701,80,1
TCP,58419,80,1
TCP,2406,80,1
UDP,58024,39065,1
UDP,4122,35248,1
TCP,12805,80,1
UDP,44907,13536,1
UDP,38478,39065,1
TCP,80,7244,1
TCP,16577,80,1
TCP,50313,80,1
UDP,5841,34952,1
TCP,80,18865,1
TCP,24747,80,1
TCP,54923,80,1
UDP,44917,13536,1
TCP,5202,80,1
TCP,80,57258,1
TCP,80,49580,1
TCP,15468,80,1
TCP,50053,80,1
TCP,80,26086,1
UDP,49704,42265,1
TCP,80,11082,1
TCP,80,20259,1
TCP,11576,80,1
UDP,64017,13123,1
TCP,11558,80,1
UDP,18949,39065,1
TCP,35862,80,1
TCP,80,47550,1
UDP,7113,34952,1
UDP,61026,13536,1
TCP,12074,80,1
UDP,54655,35248,1
TCP,810,16067,1
TCP,29579,80,1
TCP,80,54143,1
UDP,32563,64796,1
UDP,39364,13536,1
TCP,22745,80,1
TCP,13831,80,1
UDP,50738,35248,1
TCP,30783,80,1
TCP,48338,80,1
TCP,9892,80,1
TCP,3850,80,1
TCP,42109,80,1
UDP,1549,35248,1
UDP,59915,35248,1
TCP,80,17929,1
UDP,30101,34952,1
TCP,80,37158,1
UDP,26576,13123,1
UDP,37063,64796,1
UDP,1405,34354,1
TCP,46251,80,1
TCP,30339,80,1
TCP,52178,80,1
TCP,80,44180,1
TCP,80,55080,1
TCP,39953,80,1
UDP,29729,26486,1
TCP,61255,80,1
UDP,12482,64796,1
TCP,7218,80,1
TCP,25950,80,1
UDP,4759,34354,1
TCP,13736,80,1
TCP,19012,80,1
UDP,38831,35248,1
TCP,48494,80,1
UDP,26402,13536,1
TCP,13152,80,1
UDP,34241,13123,1
UDP,12225,34354,1
TCP,13959,80,1
TCP,80,18453,1
TCP,8603,80,1
TCP,9489,80,1
TCP,22797,80,1
UDP,33363,42265,1
UDP,43141,34354,1
TCP,44889,443,1
TCP,5509,80,1
UDP,42633,35248,1
TCP,12745,80,1
ICMP,0,768,1
TCP,7868,80,1
TCP,54600,53304,1
TCP,3886,80,1
TCP,49904,80,1
UDP,51988,35248,1
TCP,80,5105,1
TCP,4445,80,1
TCP,28415,80,1
TCP,80,21638,1
TCP,80,22807,1
UDP,47470,26486,1
TCP,51527,443,1
TCP,57213,80,1
