protocol,start,end,sum
TCP,3324,80,1
TCP,56637,80,1
TCP,34785,80,1
TCP,1313,80,2
TCP,1558,80,3
TCP,2216,80,2
TCP,20228,80,1
TCP,7621,80,1
TCP,12556,80,1
TCP,2202,80,1
TCP,6436,80,1
TCP,4290,80,2
TCP,22289,80,1
TCP,45704,80,1
TCP,37474,80,1
TCP,7018,80,1
TCP,33057,80,1
TCP,2850,80,2
TCP,56972,80,1
TCP,2853,80,1
TCP,58718,80,2
TCP,19789,80,1
TCP,2063,80,3
TCP,3660,80,1
TCP,1450,80,1
TCP,1855,80,1
TCP,2187,80,4
TCP,28867,80,1
TCP,2258,80,1
TCP,57964,80,1
TCP,6743,80,2
TCP,25557,80,1
TCP,2901,80,1
TCP,10448,80,1
TCP,24893,80,1
TCP,2196,80,2
TCP,9096,80,1
TCP,2431,80,3
TCP,60239,80,1
TCP,4022,80,1
TCP,59326,80,1
TCP,51353,80,1
TCP,52034,80,1
TCP,61500,80,1
TCP,12328,80,1
TCP,2638,80,1
TCP,1571,80,1
TCP,51629,80,3
TCP,47201,80,1
TCP,27011,80,1
TCP,1522,80,4
TCP,4654,80,1
TCP,3673,80,1
TCP,31293,80,1
TCP,33532,80,1
TCP,18244,80,1
TCP,4710,80,1
TCP,20857,80,1
TCP,10641,80,1
TCP,62518,80,1
TCP,27055,80,1
TCP,20826,80,1
TCP,56641,80,1
TCP,49729,80,1
TCP,7135,80,1
TCP,55084,80,2
TCP,1945,80,1
TCP,2700,80,1
TCP,64508,80,1
TCP,4775,80,1
TCP,6177,80,1
TCP,2720,80,2
TCP,1698,80,2
TCP,50592,80,1
TCP,1354,80,4
TCP,50579,80,1
TCP,14716,80,1
TCP,8161,80,1
TCP,31744,80,1
TCP,3920,80,2
TCP,6481,80,1
TCP,10722,80,1
TCP,1345,80,3
TCP,38206,80,1
TCP,2062,80,2
TCP,2877,80,2
TCP,33419,80,1
TCP,27634,80,1
TCP,34337,80,1
TCP,2791,80,1
TCP,4315,80,2
TCP,2037,80,1
TCP,29049,80,1
TCP,3990,80,1
TCP,2868,80,2
TCP,4616,80,1
TCP,30874,80,1
TCP,29163,80,1
TCP,10692,80,1
TCP,50811,80,1
TCP,53082,80,1
TCP,3643,80,1
TCP,30861,80,1
TCP,4473,80,1
TCP,40717,80,1
TCP,6141,80,1
TCP,63297,80,2
TCP,5365,80,1
TCP,1252,80,2
TCP,57004,80,1
TCP,2683,80,1
TCP,18684,80,1
TCP,9083,80,1
TCP,57419,80,1
TCP,27032,80,1
TCP,51684,80,2
TCP,49880,80,1
TCP,17029,80,1
TCP,64337,80,1
TCP,18840,80,1
TCP,63502,80,1
TCP,49621,80,1
TCP,50042,80,1
TCP,59562,80,1
TCP,5254,80,1
TCP,50519,80,1
TCP,3668,80,1
TCP,8535,80,1
TCP,1966,80,3
TCP,3935,80,1
TCP,30089,80,1
TCP,13287,80,1
TCP,39850,80,1
TCP,12559,80,1
TCP,51170,80,2
TCP,45831,80,1
TCP,54004,80,1
TCP,40854,80,1
TCP,13657,80,1
TCP,62848,80,1
TCP,4374,80,1
TCP,2279,80,2
TCP,52616,80,1
TCP,1117,80,1
TCP,5776,80,1
TCP,59906,80,1
TCP,2410,80,2
TCP,2139,80,1
TCP,19393,80,1
TCP,27119,80,1
TCP,2761,80,1
TCP,2879,80,1
TCP,17649,541,1
TCP,49561,80,1
TCP,42856,80,1
TCP,32389,80,1
TCP,44320,80,1
TCP,56313,80,1
TCP,2963,80,2
TCP,2208,80,3
TCP,2642,80,1
TCP,8065,80,1
TCP,31504,80,1
TCP,29188,80,1
TCP,49004,80,1
TCP,59230,80,1
TCP,54873,80,1
TCP,17057,80,1
TCP,43753,80,1
TCP,47725,80,1
TCP,1447,80,4
TCP,4927,80,1
TCP,64291,80,1
TCP,18894,80,1
TCP,3065,80,2
TCP,53679,80,1
TCP,3856,80,1
TCP,6247,80,1
TCP,13746,80,1
TCP,1871,80,4
TCP,13332,80,1
TCP,30633,80,1
TCP,1122,80,4
TCP,4795,80,1
TCP,50653,80,1
TCP,50317,80,1
TCP,9418,80,1
TCP,58689,80,1
TCP,61096,80,1
TCP,22389,80,1
TCP,51652,80,1
TCP,5341,80,1
TCP,45314,80,1
TCP,52990,80,1
TCP,1975,80,2
TCP,62987,80,1
TCP,2468,80,1
TCP,34124,80,1
TCP,2182,80,1
TCP,13731,80,1
TCP,50685,80,1
TCP,58846,80,1
TCP,29723,80,1
TCP,64319,80,1
TCP,49328,80,1
TCP,2837,80,1
TCP,32935,80,1
TCP,2875,80,2
TCP,23254,80,2
TCP,2103,80,4
TCP,1704,80,1
TCP,1519,80,1
TCP,1675,80,2
TCP,1804,80,2
TCP,9684,80,1
TCP,1185,80,2
TCP,2769,80,1
TCP,56993,80,1
TCP,11794,80,1
TCP,1598,80,1
TCP,3470,80,2
TCP,1364,80,1
TCP,27195,80,1
TCP,31296,80,1
TCP,15235,80,1
TCP,32171,80,1
TCP,35724,80,1
TCP,2801,80,4
TCP,29576,80,1
TCP,23544,80,1
TCP,27623,80,1
TCP,22533,80,1
TCP,6955,80,1
TCP,18075,80,1
TCP,1259,80,1
TCP,46646,80,1
TCP,64212,80,1
TCP,4614,80,1
TCP,23758,80,1
TCP,50030,80,1
TCP,20351,80,1
TCP,27996,80,1
TCP,3868,80,1
TCP,2517,80,3
TCP,32428,80,1
TCP,14524,80,1
TCP,53818,80,1
TCP,21852,80,1
TCP,1979,80,2
TCP,1997,80,1
TCP,2455,80,1
TCP,50428,80,1
TCP,7569,80,2
TCP,19847,80,1
TCP,1360,80,2
TCP,27191,80,1
TCP,50183,80,1
TCP,1532,80,2
TCP,52244,80,1
TCP,23553,80,1
TCP,54138,80,1
TCP,48986,80,1
TCP,50443,80,2
TCP,61855,80,1
TCP,38045,80,1
TCP,13617,80,1
TCP,50741,80,2
TCP,29857,80,1
TCP,50054,80,1
TCP,15107,80,1
TCP,27885,80,1
TCP,4223,80,1
TCP,51848,80,1
TCP,8805,80,1
TCP,3136,80,1
TCP,18214,80,1
TCP,5635,80,1
TCP,1729,80,1
TCP,27174,80,1
TCP,57830,80,1
TCP,12703,80,1
TCP,16257,80,1
TCP,1849,80,1
TCP,37611,80,1
TCP,16530,80,1
TCP,58209,80,1
TCP,54109,80,1
TCP,5297,80,1
TCP,31810,80,1
TCP,30004,80,1
TCP,42071,80,1
TCP,51147,80,1
TCP,39921,80,1
TCP,4711,80,1
TCP,16930,80,1
TCP,56037,80,1
TCP,6474,80,1
TCP,31041,80,1
TCP,10562,80,2
TCP,50186,80,1
TCP,2679,80,2
TCP,2443,80,2
TCP,2123,80,3
TCP,4637,80,1
TCP,17450,80,1
TCP,1486,80,1
TCP,12960,80,1
TCP,50976,80,1
TCP,12991,80,1
TCP,18966,80,1
TCP,49372,80,1
TCP,62017,80,1
TCP,12948,80,1
TCP,32202,80,1
TCP,8049,80,1
TCP,2089,80,1
TCP,6000,1433,1
TCP,57025,80,1
TCP,49517,80,1
TCP,61701,80,1
TCP,27452,80,1
TCP,1084,80,1
TCP,51140,80,1
TCP,11303,80,1
TCP,11013,80,1
TCP,53081,80,1
TCP,55162,80,1
TCP,31209,80,1
TCP,57243,80,2
TCP,18987,80,1
TCP,1788,80,1
TCP,50182,80,2
TCP,3361,80,2
TCP,33293,80,1
TCP,4857,80,1
TCP,4138,80,1
TCP,2290,80,1
TCP,17836,80,1
TCP,8001,80,1
TCP,44912,80,1
TCP,4233,80,1
TCP,13084,80,1
TCP,49992,80,2
TCP,15105,80,1
TCP,3702,80,1
TCP,50823,80,1
TCP,53243,80,1
TCP,50638,80,1
TCP,3720,80,2
TCP,9576,80,1
TCP,1603,80,3
TCP,54240,80,1
TCP,27374,80,1
TCP,56955,80,1
TCP,13665,80,1
TCP,43649,80,1
TCP,50212,80,2
TCP,15801,80,1
TCP,59876,80,1
TCP,55989,80,1
TCP,54822,80,1
TCP,2051,80,2
TCP,3096,80,2
TCP,5076,80,1
TCP,44793,80,1
TCP,5435,80,1
TCP,1709,80,1
TCP,57696,80,1
TCP,53229,80,1
TCP,4903,80,1
TCP,1777,80,2
TCP,2382,80,2
TCP,4695,80,1
TCP,21253,80,1
TCP,2435,80,2
TCP,7808,80,1
TCP,13948,80,1
TCP,1668,80,1
TCP,64322,80,1
TCP,32769,80,1
TCP,26378,80,1
TCP,22178,80,1
TCP,10383,80,1
TCP,49186,80,1
TCP,2163,80,2
TCP,5757,80,1
TCP,22400,80,1
TCP,1126,80,1
TCP,1839,80,1
TCP,24088,80,1
TCP,1749,80,3
TCP,27935,80,1
TCP,53527,80,1
TCP,3234,80,1
TCP,12897,80,1
TCP,12704,80,1
TCP,54154,80,1
TCP,4951,80,1
TCP,2328,80,3
TCP,35719,80,1
TCP,8942,80,1
TCP,10307,80,1
TCP,2834,80,1
TCP,1870,80,2
TCP,3823,80,1
TCP,2304,80,3
TCP,14721,80,1
TCP,64491,80,1
TCP,10113,80,1
TCP,56618,80,1
TCP,2028,80,1
TCP,50408,80,1
TCP,1213,80,3
TCP,3379,80,1
TCP,38602,80,1
TCP,30982,80,1
TCP,10345,80,1
TCP,1237,80,1
TCP,8549,80,1
TCP,32259,80,1
TCP,1274,80,2
TCP,31779,80,1
TCP,4561,80,1
TCP,53298,80,1
TCP,52814,80,1
TCP,51867,80,1
TCP,1961,80,1
TCP,36463,80,1
TCP,2714,80,2
TCP,5879,80,1
TCP,17164,80,1
TCP,2465,80,1
TCP,4472,80,1
TCP,43200,80,1
TCP,64305,80,1
TCP,1418,80,3
TCP,24099,80,1
TCP,1526,80,2
TCP,24993,80,1
TCP,2554,80,1
TCP,3531,80,1
TCP,1288,80,2
TCP,58623,80,1
TCP,46569,80,1
TCP,19680,80,1
TCP,56133,80,1
TCP,7729,80,1
TCP,1133,80,1
TCP,49447,80,1
TCP,1135,80,2
TCP,39243,80,1
TCP,50680,80,1
TCP,31073,80,1
TCP,54393,80,1
TCP,45710,80,1
TCP,32704,80,1
TCP,27568,80,1
TCP,5989,80,1
TCP,28048,80,1
TCP,9600,80,1
TCP,48151,80,1
TCP,30657,80,1
TCP,51702,80,1
TCP,19630,80,1
TCP,61724,80,1
TCP,5660,80,1
TCP,4331,80,1
TCP,1285,80,1
TCP,2201,80,2
TCP,2730,80,1
TCP,35663,80,1
TCP,23686,80,1
TCP,4860,80,1
TCP,54722,80,1
TCP,13807,80,1
TCP,62760,80,1
TCP,34364,80,1
TCP,2646,80,1
TCP,25295,80,1
TCP,53291,80,1
TCP,42284,80,1
TCP,1118,80,1
TCP,28283,80,1
TCP,4145,80,2
TCP,3346,80,2
TCP,8100,80,1
TCP,20049,80,1
TCP,19868,80,1
TCP,43734,80,1
TCP,64334,80,1
TCP,8403,80,1
TCP,41741,80,2
TCP,50868,80,1
TCP,1306,80,1
TCP,4218,80,1
TCP,1337,80,1
TCP,8853,80,1
TCP,4993,80,1
TCP,3137,80,1
TCP,1438,80,1
TCP,4273,80,1
TCP,3264,80,2
TCP,4178,80,1
TCP,37089,80,1
TCP,45952,80,1
TCP,27280,80,1
TCP,63458,80,1
TCP,50328,80,1
TCP,54648,80,1
TCP,39521,80,1
TCP,21455,80,1
TCP,36461,80,1
TCP,62806,80,1
TCP,49767,80,1
TCP,7667,80,1
TCP,38787,80,1
TCP,38914,80,1
TCP,40362,80,1
TCP,56235,80,1
TCP,60225,80,1
TCP,26593,80,2
TCP,63088,80,1
TCP,9220,80,1
TCP,2586,80,1
TCP,4797,80,2
TCP,55418,80,1
TCP,22801,80,1
TCP,3589,80,1
TCP,17982,80,1
TCP,2941,80,3
TCP,6872,80,1
TCP,3269,80,2
TCP,61498,80,1
TCP,62113,80,1
TCP,1495,80,1
TCP,50841,80,2
TCP,50812,80,1
TCP,40511,80,1
TCP,51996,80,1
TCP,62039,80,2
TCP,41194,80,1
TCP,3066,80,1
TCP,23587,80,1
TCP,38413,80,1
TCP,3035,80,1
TCP,9657,80,1
TCP,25385,80,1
TCP,63920,80,1
TCP,1633,80,2
TCP,14911,80,2
TCP,50608,80,1
TCP,46768,80,1
TCP,3653,80,3
TCP,36727,80,1
TCP,8624,80,1
TCP,2611,80,1
TCP,2511,80,1
TCP,2705,80,2
TCP,52668,80,2
TCP,56903,80,1
TCP,14352,80,1
TCP,2434,80,2
TCP,27537,80,1
TCP,18528,541,1
TCP,52978,80,2
TCP,9086,80,1
TCP,43411,80,1
TCP,12232,80,1
TCP,14809,80,1
TCP,1340,80,2
TCP,12551,80,1
TCP,4801,80,2
TCP,29589,80,1
TCP,3176,80,1
TCP,63701,80,1
TCP,17896,80,1
TCP,63352,80,1
TCP,64650,80,1
TCP,22330,80,1
TCP,1755,80,3
TCP,55062,80,1
TCP,55073,80,2
TCP,1660,80,2
TCP,1821,80,2
TCP,8956,80,1
TCP,2232,80,1
TCP,9586,80,1
TCP,61713,80,1
TCP,22166,80,1
TCP,36233,80,1
TCP,31874,80,1
TCP,2631,80,1
TCP,29489,80,1
TCP,44285,80,1
TCP,15090,80,1
TCP,20859,80,1
TCP,1902,80,2
TCP,22668,80,1
TCP,3212,80,1
TCP,34273,80,1
TCP,52282,80,1
TCP,2225,80,1
TCP,39457,80,1
TCP,3631,80,2
TCP,23169,80,1
TCP,50191,80,1
TCP,29924,80,2
TCP,10940,80,1
TCP,10017,80,1
TCP,13299,80,1
TCP,18230,80,1
TCP,1923,80,3
TCP,13987,80,1
TCP,55397,80,1
TCP,50164,80,1
TCP,3748,80,2
TCP,18614,80,1
TCP,41531,80,1
TCP,50723,80,1
TCP,7969,80,1
TCP,2153,80,1
TCP,1176,80,3
TCP,1430,80,2
TCP,2297,80,1
TCP,4140,80,1
TCP,5548,80,1
TCP,5329,80,1
TCP,48679,80,1
TCP,3265,80,1
TCP,10502,80,1
TCP,3529,80,1
TCP,57677,80,1
TCP,3385,80,2
