protocol,start,end,sum
TCP,45175,80,1
TCP,3375,80,1
TCP,26459,80,1
TCP,43996,80,1
TCP,32607,80,1
TCP,80,30967,1
TCP,56517,80,1
TCP,46713,80,1
TCP,16597,80,1
TCP,51750,80,1
TCP,5425,80,1
TCP,38909,80,1
TCP,26516,80,1
TCP,80,11268,1
TCP,9793,80,1
TCP,41234,80,1
TCP,80,57814,1
TCP,53346,80,1
TCP,60151,80,2
TCP,50207,80,1
TCP,5819,80,1
TCP,12389,80,1
TCP,80,41854,1
TCP,14460,80,1
TCP,26423,80,1
TCP,80,3038,1
TCP,80,9451,1
TCP,19790,80,1
UDP,4691,29648,1
TCP,33089,80,2
TCP,80,37310,1
TCP,11043,80,1
TCP,53536,80,1
TCP,80,9979,1
TCP,9304,80,1
TCP,62103,80,1
TCP,80,15307,1
TCP,32775,80,1
TCP,50004,80,1
TCP,51774,80,1
TCP,80,33643,1
TCP,80,18321,1
TCP,80,38978,1
TCP,80,27239,1
TCP,30301,80,1
TCP,80,23946,1
TCP,27812,80,1
TCP,80,60454,1
TCP,39982,80,1
TCP,22968,80,1
TCP,36537,80,1
TCP,62010,80,2
TCP,39437,80,1
TCP,2059,80,1
TCP,28701,80,2
TCP,80,62567,2
TCP,53807,80,1
TCP,80,60391,1
TCP,1999,80,1
TCP,54007,80,2
TCP,31946,80,1
TCP,80,48532,1
TCP,80,20110,1
TCP,12390,80,1
TCP,56038,80,1
TCP,15205,80,2
TCP,6748,80,1
TCP,80,50671,1
TCP,12644,80,1
TCP,80,21596,2
TCP,16475,80,1
TCP,54105,80,1
TCP,39925,80,1
TCP,30656,80,1
TCP,52427,80,1
TCP,80,63282,2
TCP,80,2562,1
TCP,46890,80,2
TCP,34784,80,1
TCP,49820,80,1
TCP,14851,80,1
TCP,80,40208,1
TCP,80,42561,1
TCP,9839,80,1
TCP,50296,80,1
TCP,80,14421,1
TCP,48249,80,1
TCP,4517,80,1
TCP,22973,80,1
TCP,5397,80,1
TCP,80,63951,1
TCP,61907,80,1
TCP,80,31355,1
TCP,46961,80,1
TCP,80,26763,2
TCP,50997,80,1
TCP,1517,80,1
TCP,49217,80,1
TCP,80,10488,1
TCP,80,38356,1
TCP,62478,80,1
TCP,52524,80,1
TCP,18047,80,1
TCP,47158,80,1
TCP,13098,80,2
TCP,80,39606,1
TCP,80,45781,1
TCP,58384,80,1
TCP,57081,80,1
TCP,41902,80,1
TCP,11544,80,1
TCP,9758,80,1
TCP,29793,80,1
TCP,23314,80,1
TCP,36898,80,1
TCP,24481,80,1
TCP,61803,80,1
TCP,80,30730,1
TCP,47482,80,1
TCP,80,24119,1
TCP,46644,80,1
TCP,60935,80,2
TCP,20515,80,1
TCP,80,56499,1
TCP,21936,80,1
TCP,80,36081,1
TCP,49464,80,1
TCP,30667,80,1
TCP,63942,80,1
TCP,80,32442,1
TCP,33439,80,1
TCP,5458,80,1
TCP,44783,80,1
TCP,32857,80,1
TCP,80,46775,1
TCP,29263,80,1
TCP,10466,80,1
TCP,40698,80,1
TCP,42667,80,1
TCP,28648,80,1
TCP,15287,80,1
TCP,681,80,1
TCP,80,60341,1
TCP,27523,80,1
TCP,80,23618,1
TCP,47544,80,1
TCP,5489,80,1
TCP,20747,80,2
TCP,55696,80,1
TCP,51689,80,1
TCP,80,34579,1
TCP,31611,80,2
TCP,44053,80,1
TCP,7923,80,1
TCP,80,52732,1
TCP,33897,80,1
TCP,80,39805,1
TCP,16787,80,1
TCP,11201,80,1
TCP,80,38533,1
TCP,8110,80,1
TCP,30790,80,1
TCP,53248,80,1
TCP,59474,80,1
TCP,47978,80,1
TCP,52081,80,1
TCP,2462,80,1
TCP,32802,80,1
TCP,41237,80,1
TCP,13742,80,1
TCP,32246,80,1
TCP,3772,80,1
TCP,40617,80,2
